x0,x1,x2,y
0,0,3,0
0,1,3,1
0,2,3,2
1,0,3,3
1,1,3,4
1,2,3,5
2,0,3,6
2,1,3,7
2,2,3,8
0,0,4,0
0,1,4,1
0,2,4,2
0,3,4,3
1,0,4,4
1,1,4,5
1,2,4,6
1,3,4,7
2,0,4,8
2,1,4,9
2,2,4,10
2,3,4,11
3,0,4,12
3,1,4,13
3,2,4,14
3,3,4,15
0,0,5,0
0,1,5,1
0,2,5,2
0,3,5,3
0,4,5,4
1,0,5,5
1,1,5,6
1,2,5,7
1,3,5,8
1,4,5,9
2,0,5,10
2,1,5,11
2,2,5,12
2,3,5,13
2,4,5,14
3,0,5,15
3,1,5,16
3,2,5,17
3,3,5,18
3,4,5,19
4,0,5,20
4,1,5,21
4,2,5,22
4,3,5,23
4,4,5,24
0,0,6,0
0,1,6,1
0,2,6,2
0,3,6,3
0,4,6,4
0,5,6,5
1,0,6,6
1,1,6,7
1,2,6,8
1,3,6,9
1,4,6,10
1,5,6,11
2,0,6,12
2,1,6,13
2,2,6,14
2,3,6,15
2,4,6,16
2,5,6,17
3,0,6,18
3,1,6,19
3,2,6,20
3,3,6,21
3,4,6,22
3,5,6,23
4,0,6,24
4,1,6,25
4,2,6,26
4,3,6,27
4,4,6,28
4,5,6,29
5,0,6,30
5,1,6,31
5,2,6,32
5,3,6,33
5,4,6,34
5,5,6,35
0,0,7,0
0,1,7,1
0,2,7,2
0,3,7,3
0,4,7,4
0,5,7,5
0,6,7,6
1,0,7,7
1,1,7,8
1,2,7,9
1,3,7,10
1,4,7,11
1,5,7,12
1,6,7,13
2,0,7,14
2,1,7,15
2,2,7,16
2,3,7,17
2,4,7,18
2,5,7,19
2,6,7,20
3,0,7,21
3,1,7,22
3,2,7,23
3,3,7,24
3,4,7,25
3,5,7,26
3,6,7,27
4,0,7,28
4,1,7,29
4,2,7,30
4,3,7,31
4,4,7,32
4,5,7,33
4,6,7,34
5,0,7,35
5,1,7,36
5,2,7,37
5,3,7,38
5,4,7,39
5,5,7,40
5,6,7,41
6,0,7,42
6,1,7,43
6,2,7,44
6,3,7,45
6,4,7,46
6,5,7,47
6,6,7,48
0,0,8,0
0,1,8,1
0,2,8,2
0,3,8,3
0,4,8,4
0,5,8,5
0,6,8,6
0,7,8,7
1,0,8,8
1,1,8,9
1,2,8,10
1,3,8,11
1,4,8,12
1,5,8,13
1,6,8,14
1,7,8,15
2,0,8,16
2,1,8,17
2,2,8,18
2,3,8,19
2,4,8,20
2,5,8,21
2,6,8,22
2,7,8,23
3,0,8,24
3,1,8,25
3,2,8,26
3,3,8,27
3,4,8,28
3,5,8,29
3,6,8,30
3,7,8,31
4,0,8,32
4,1,8,33
4,2,8,34
4,3,8,35
4,4,8,36
4,5,8,37
4,6,8,38
4,7,8,39
5,0,8,40
5,1,8,41
5,2,8,42
5,3,8,43
5,4,8,44
5,5,8,45
5,6,8,46
5,7,8,47
6,0,8,48
6,1,8,49
6,2,8,50
6,3,8,51
6,4,8,52
6,5,8,53
6,6,8,54
6,7,8,55
7,0,8,56
7,1,8,57
7,2,8,58
7,3,8,59
7,4,8,60
7,5,8,61
